pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,sy_dist,sy_vmag
16 Cyg B b,16 Cyg B,3,1,798.50000000000,1.6600000000,13.50000000,565.73740000,0.680000,,G3 V,5750.00,1.130000,1.080000,21.13970000,6.2150000
51 Eri b,51 Eri,3,1,9100.00000000000,10.4000000000,,3464.32963630,0.570000,807.00,F0 IV,7422.00,1.450000,1.750000,29.75750000,5.2114900
91 Aqr b,91 Aqr,3,1,181.40000000000,0.7000000000,13.10000000,1017.00000000,0.027000,,K0 III,4665.00,11.000000,1.400000,44.03040000,4.2394600
BD-14 3065 b,BD-14 3065 A,3,1,4.28897310000,0.0656000000,21.59000000,3932.00000000,0.066000,2001.00,,6935.00,2.350000,1.410000,589.42300000,11.1000000
Gliese 229 A c,Gliese 229,3,2,121.93268000000,0.3840000000,2.87000000,8.58136699,0.366000,,M1.5V,3564.00,0.460000,0.509000,5.75624000,8.1500000
Gliese 229 b,Gliese 229,3,2,579.47495000000,1.0860000000,3.97000000,14.93793513,0.404000,,M1.5V,3564.00,0.460000,0.509000,5.75624000,8.1500000
Gliese 667 C b,Gliese 667 C,3,5,7.20300000000,0.0504310000,2.25000000,5.68000000,0.200000,,M1.5 V,3350.00,,0.330000,7.24396000,10.6020000
Gliese 667 C c,Gliese 667 C,3,5,28.14000000000,0.1250000000,1.77000000,3.80000000,0.020000,,M1.5 V,3350.00,,0.330000,7.24396000,10.6020000
Gliese 667 C e,Gliese 667 C,3,5,62.24000000000,0.2130000000,1.45000000,2.70000000,0.020000,,M1.5 V,3350.00,,0.330000,7.24396000,10.6020000
Gliese 667 C f,Gliese 667 C,3,5,39.02600000000,0.1560000000,1.45000000,2.70000000,0.030000,,M1.5 V,3350.00,,0.330000,7.24396000,10.6020000
Gliese 667 C g,Gliese 667 C,3,5,256.20000000000,0.5490000000,1.99000000,4.60000000,0.080000,,M1.5 V,3350.00,,0.330000,7.24396000,10.6020000
Gliese 900 b,Gliese 900 A,3,1,,12000.0000000000,12.40000000,3496.11247700,,,K7,3976.00,0.716187,1.080000,20.80650000,9.5900000
HAT-P-16 b,HAT-P-16,3,1,2.77596727000,0.0413000000,14.68376472,1341.56043000,0.046200,1566.00,F8,6140.00,1.158000,1.218000,226.63700000,10.9110000
HAT-P-35 b,HAT-P-35,3,1,3.64670600000,0.0497800000,14.93038800,335.62848000,0.020000,1581.00,,6096.00,1.435000,1.236000,506.96500000,12.3890000
HAT-P-57 b,HAT-P-57,3,1,2.46530000000,0.0406000000,19.50366000,448.14030000,0.000000,2200.00,A8 V,6330.00,1.850000,2.770000,279.86000000,10.6390000
HAT-P-7 b,HAT-P-7,3,1,2.20474000000,0.0380900000,16.92559000,584.80720000,0.000000,2733.00,F6 V,6389.00,2.000000,1.560000,341.07900000,10.4810000
HAT-P-8 b,HAT-P-8,3,1,3.07634000000,0.0449600000,15.69260000,406.82240000,0.000000,1713.00,F6,6200.00,1.570000,1.270000,211.55300000,10.3580000
HD 110067 b,HD 110067,3,6,9.11367800000,0.0793000000,2.20000000,5.69000000,,800.00,K0.0 V,5266.00,0.788000,0.798000,32.15850000,8.4190000
HD 110067 c,HD 110067,3,6,13.67369400000,0.1039000000,2.38800000,6.30000000,,699.00,K0.0 V,5266.00,0.788000,0.798000,32.15850000,8.4190000
HD 110067 d,HD 110067,3,6,20.51961700000,0.1362000000,2.85200000,8.52000000,,602.00,K0.0 V,5266.00,0.788000,0.798000,32.15850000,8.4190000
HD 110067 e,HD 110067,3,6,30.79309100000,0.1785000000,1.94000000,3.90000000,,533.00,K0.0 V,5266.00,0.788000,0.798000,32.15850000,8.4190000
HD 110067 f,HD 110067,3,6,41.05854000000,0.2163000000,2.60100000,5.04000000,,489.00,K0.0 V,5266.00,0.788000,0.798000,32.15850000,8.4190000
HD 110067 g,HD 110067,3,6,54.76992000000,0.2621000000,2.60700000,8.40000000,,440.00,K0.0 V,5266.00,0.788000,0.798000,32.15850000,8.4190000
