Sustav,Orbitalna konfiguracija,Oznaka matične zvijezde,Ime zvijezde A,Ime zvijezde B,Ime zvijezde C,Masa A [m_s],Masa B [m_s],Masa C [m_s],Radijus A [R_s],Radijus B [R_s],Radijus C [R_s],T_eff A [K],T_eff B [K],T_eff C [K],Spektralni tip A,Spektralni tip B,Spektralni tip C,Oznake unutarnjeg para,a_u [AU],e_u,i_u [º],Omega_u [º],omega_u [º],Oznake vanjskog para,a_v [AU],e_v,i_v [º],Omega_v [º],omega_v [º],Izvori
Gliese 667,S(C),C,Gliese 667 A,Gliese 667 B,Gliese 667 C,0.73,0.69,0.31,0.76,0.7,0.42,4270,3998,3700,K3V,K5V,M1.5V,A-B,12.6,0.57,127.6,133.2,68.1,AB-C,230,,,,,"[14], [17],  [18], [19], [20]"
LTT 1445,S(A),A,LTT 1445 A,LTT 1445 B,LTT 1445 C,0.257,0.215,0.161,0.271,0.236,0.197,3337,3430,2500,M2.5V,M3V,M tip,B-C,7.95,0.5,89.64,137.63,209,A-BC,34,,,,,"[14], [17], [20], [21], [22]"
94 Ceti,S(A),A,94 Ceti A,94 Ceti B,94 Ceti C,1.3,0.55,0.34,1.898,0.4,0.588,6055,3850,3430,F8V,M0V,M3V,B-C,0.984,0.36,108.323,191.496,334.895,A-BC,220,0.26,104,97,342,"[14], [17],  [19], [23], [24], [25]"
Kepler-444,S(A),A,Kepler-444 A,Kepler-444 B,Kepler-444 C,0.754,0.307,0.296,0.753,0.36,0.3,5046,3464,3750,K0V,M tip,M tip,B-C,0.3,,,,,A-BC,52.2,0.55,85.4,250.7,227.3,"[14], [17], [19], [20], [26]"
HD 132563,S(C),C,HD 132563 Aa,HD 132563 Ab,HD 132563 B,1.081,0.6,1.01,1.3,,1.1,6168,,5985,F8 star,M tip,G0V,A-B,14.8,0.86,,,160.2,AB-C,400,,,,,"[14], [17], [19], [20], [27], [28]"
WASP-12,S(A),A,WASP-12 A,WASP-12 B,WASP-12 C,1.43,0.38,0.37,1.66,0.36,0.36,6360,3430,3430,F / G0V,M3V,M3V,B-C,21,,,,,A-BC,450,,,,,"[14], [17], [19], [20], [29], [30]"
GJ 229,S(A),A,Gliese 229 A,Gliese 229 Ba,Gliese 229 Bb,0.581,37.7,33.4,0.549,0.81,0.85,3700,900,775,M1Ve,T7,T8,B-C,0.0424,0.2306,31.4,210.4,3.2,A-BC,42.9,0.736,47.7,168.3,358.285,"[17], [31], [32]"
GJ 900 A,S(ABC)-P,ABC,GJ 900 A,GJ 900 B,GJ 900 C,0.67,0.34,0.24,0.716,0.27,0.14,4079,3210,2810,K7V,M4V,M6V,B-C,9.217,0.136,82.21,,109.8,A-BC,20,,,,,"[17], [19], [33]"
HAT-P-8,S(A),A,HAT-P-8 A,HAT-P-8 B,HAT-P-8 C,1.27,0.22,0.18,1.49,0.2,0.14,6410,3060,2810,F5V,M5V,M6V,B-C,15,,,,,A-BC,217,,,,,"[14], [17], [19], [20], [29], [34]"
HD 65216,S(A),A,HD 65216 A,HD 65216 Ba,HD 65216 Bb,0.95,0.09,0.08,0.864,0.12,0.097,5718,2680,2060,G5V,M7,L2,B-C,6.7,,,,,A-BC,255,,,,,"[14], [17], [19], [20], [35]"
