,pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,sy_dist
4,GJ 229 A c,121.93268,0.384,2.87,8.58136699,0.366,,5.75624
5,GJ 229 b,579.47495,1.086,3.97,14.93793513,0.404,,5.75624
16,HAT-P-8 b,3.07634,0.04496,15.6926,406.8224,0.0,1713.0,211.553
26,HD 132563 b,1544.0,2.62,13.6,473.547,0.22,,105.155
38,HD 65216 b,577.6,1.301,13.6,411.58985,0.27,,35.1205
39,HD 65216 c,5370.0,5.75,13.4,645.1949,0.17,,35.1205
47,Kepler-444 b,3.6001053,0.04178,0.403,0.0374,0.16,938.0,36.4396
48,Kepler-444 c,4.5458841,0.04881,0.497,0.0793,0.31,868.0,36.4396
49,Kepler-444 d,6.189392,0.06,0.53,0.2,0.18,783.0,36.4396
50,Kepler-444 e,7.743493,0.0696,0.546,0.1,0.1,727.0,36.4396
51,Kepler-444 f,9.740486,0.0811,0.741,0.332,0.29,673.0,36.4396
53,LTT 1445 A b,5.3587635,0.0381,1.34,2.73,0.18,431.0,6.86929
54,LTT 1445 A c,3.1239035,0.02661,1.147,1.54,0.223,508.0,6.86929
66,WASP-12 b,1.091418901,0.0234,22.02564708,467.2101,0.0447,2601.0,427.246
