run_id,system,set,n_planets,tspan_yr,config_file,C_e,C_i
GJ667__default__Ce0.0__Ci0,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.0__Ci0.json,0.0,0
GJ667__default__Ce0.0__Ci30,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.0__Ci30.json,0.0,30
GJ667__default__Ce0.0__Ci60,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.0__Ci60.json,0.0,60
GJ667__default__Ce0.0__Ci90,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.0__Ci90.json,0.0,90
GJ667__default__Ce0.2__Ci0,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.2__Ci0.json,0.2,0
GJ667__default__Ce0.2__Ci30,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.2__Ci30.json,0.2,30
GJ667__default__Ce0.2__Ci60,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.2__Ci60.json,0.2,60
GJ667__default__Ce0.2__Ci90,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.2__Ci90.json,0.2,90
GJ667__default__Ce0.4__Ci0,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.4__Ci0.json,0.4,0
GJ667__default__Ce0.4__Ci30,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.4__Ci30.json,0.4,30
GJ667__default__Ce0.4__Ci60,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.4__Ci60.json,0.4,60
GJ667__default__Ce0.4__Ci90,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.4__Ci90.json,0.4,90
GJ667__default__Ce0.6__Ci0,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.6__Ci0.json,0.6,0
GJ667__default__Ce0.6__Ci30,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.6__Ci30.json,0.6,30
GJ667__default__Ce0.6__Ci60,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.6__Ci60.json,0.6,60
GJ667__default__Ce0.6__Ci90,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.6__Ci90.json,0.6,90
GJ667__default__Ce0.8__Ci0,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.8__Ci0.json,0.8,0
GJ667__default__Ce0.8__Ci30,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.8__Ci30.json,0.8,30
GJ667__default__Ce0.8__Ci60,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.8__Ci60.json,0.8,60
GJ667__default__Ce0.8__Ci90,GJ667,default,2,10000000.0,configs/GJ667__default__Ce0.8__Ci90.json,0.8,90
